教5.日間學制生師比-以「校」統計,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學生數,日間專任教師(含助教),日間生師比(%)
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7337,268,27.38
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,3429,160,21.43
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,2839,154,18.44
106,私立,技專校院,1078,致理學校財團法人致理科技大學,8321,272,30.59
106,私立,一般大學,1079,康寧學校財團法人康寧大學,3987,162,24.61
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,4427,200,22.14
106,私立,技專校院,1081,東方學校財團法人東方設計大學,2996,154,19.45
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,2685,99,27.12
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,5024,162,31.01
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,483,38,12.71
106,私立,技專校院,1148,大漢技術學院,469,48,9.77
106,私立,技專校院,1159,和春技術學院,1092,100,10.92
106,私立,技專校院,1166,亞東技術學院,4382,162,27.05
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,2511,140,17.94
106,私立,一般大學,1176,稻江科技暨管理學院,1450,60,24.17
106,私立,技專校院,1182,蘭陽技術學院,1058,84,12.60
106,私立,技專校院,1183,黎明技術學院,3680,154,23.90
106,私立,技專校院,1185,經國管理暨健康學院,3448,141,24.45
106,私立,技專校院,1188,大同技術學院,1526,65,23.48
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,343,43,7.98
106,私立,技專校院,1192,臺灣觀光學院,728,44,16.55
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,666,103,6.47
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,267,20,13.35
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,4077,141,28.91
106,私立,技專校院,1283,仁德醫護管理專科學校,6239,201,31.04
106,私立,技專校院,1284,樹人醫護管理專科學校,6578,210,31.32
106,私立,技專校院,1285,慈惠醫護管理專科學校,5250,169,31.07
106,私立,技專校院,1286,耕莘健康管理專科學校,5129,180,28.49
106,私立,技專校院,1287,敏惠醫護管理專科學校,3858,124,31.11
106,私立,技專校院,1288,高美醫護管理專科學校,483,27,17.89
106,私立,技專校院,1289,育英醫護管理專科學校,1969,71,27.73
106,私立,技專校院,1290,崇仁醫護管理專科學校,3503,130,26.95
106,私立,技專校院,1291,聖母醫護管理專科學校,3155,111,28.42
