學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地小計,可使用校地校舍基地,可使用校地露天運動場地,可使用校地其他校地,無法使用校地
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,臺南市,168988,144365,144365,32582,31621,80162,0
107,私立,技專校院,1052,遠東科技大學,臺南市,133703,120636,120636,26064,16620,77952,0
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,新竹市,87537,126024,81328,44606,14219,22503,44696
107,私立,技專校院,1054,景文科技大學,新北市,83387,116191,116191,14494,25243,76454,0
107,私立,技專校院,1055,中華醫事科技大學,臺南市,140806,92001,92001,20967,11325,59709,0
107,私立,技專校院,1056,東南科技大學,新北市,92945,109251,109251,14535,10446,84270,0
107,私立,技專校院,1057,德明財經科技大學,臺北市,69940,60832,60832,37840,11855,11137,0
107,私立,一般大學,1058,明道學校財團法人明道大學,彰化縣,87367,411278,411278,22757,59316,329205,0
107,私立,技專校院,1060,南開科技大學,南投縣,83173,92030,92030,14872,13055,64103,0
107,私立,技專校院,1061,中華學校財團法人中華科技大學,雲林縣,11611,296028,290575,2935,3124,284516,5453
107,私立,技專校院,1061,中華學校財團法人中華科技大學,新竹縣,16066,87770,21489,16066,4423,1000,66281
107,私立,技專校院,1061,中華學校財團法人中華科技大學,臺北市,69052,54147,54147,21529,5600,27018,0
107,私立,技專校院,1062,僑光科技大學,臺中市,110437,57262,57262,14966,7959,34337,0
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,苗栗縣,99312,119651,119651,47627,21428,50596,0
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,新北市,0,79034,79034,79034,0,0,0
107,私立,技專校院,1064,美和學校財團法人美和科技大學,屏東縣,96995,50574,50574,15248,4951,30375,0
107,私立,技專校院,1065,吳鳳科技大學,嘉義縣,137614,132856,132856,25889,28320,78647,0
107,私立,技專校院,1066,環球學校財團法人環球科技大學,雲林縣,102368,298463,298463,25408,34351,238704,0
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,臺南市,99126,165287,109262,15360,10200,83702,56025
107,私立,技專校院,1068,中州學校財團法人中州科技大學,彰化縣,57492,59947,59947,13917,4348,41682,0
107,私立,技專校院,1069,修平學校財團法人修平科技大學,臺中市,81309,96032,96032,17433,12372,66227,0
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,桃園市,199268,139046,139046,30826,20886,87334,0
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,嘉義縣,133639,156216,156216,21863,12415,121938,0
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,臺北市,132074,86984,86984,27035,9689,50260,0
107,私立,技專校院,1072,大華學校財團法人大華科技大學,新竹縣,87455,148910,103236,18451,7113,77672,45674
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,新北市,61670,55762,55762,14737,16500,24525,0
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,臺南市,89910,72144,72144,19133,10254,42757,0
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,高雄市,91925,56870,56870,20687,28240,7943,0
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,新北市,61650,59646,59646,10634,1457,47555,0
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,花蓮縣,109055,210049,210049,16681,16992,176376,0
107,私立,技專校院,1078,致理學校財團法人致理科技大學,新北市,79687,60256,60256,9785,30265,20206,0
107,私立,一般大學,1079,康寧學校財團法人康寧大學,臺北市,40351,73581,21176,6395,770,14011,52405
107,私立,一般大學,1079,康寧學校財團法人康寧大學,臺南市,74309,191687,191687,13562,52162,125963,0
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,新北市,101921,125660,122444,19089,13206,90149,3216
107,私立,技專校院,1081,東方學校財團法人東方設計大學,高雄市,85569,90144,90144,15342,22582,52220,0
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,基隆市,39450,50129,50129,37095,12100,934,0
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,新北市,0,202726,0,0,0,0,202726
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,新北市,62141,41071,41071,10483,1296,29292,0
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,臺北市,25420,34264,34264,8775,6608,18881,0
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,臺南市,53314,265257,254931,13624,75000,166307,10326
107,私立,技專校院,1148,大漢技術學院,花蓮縣,62319,189052,189052,20644,73443,94965,0
107,私立,技專校院,1159,和春技術學院,高雄市,147350,112497,112497,33297,19674,59526,0
107,私立,技專校院,1166,亞東技術學院,新北市,110070,58459,52821,9956,6409,36456,5638
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,桃園市,92702,50033,50033,13510,14120,22403,0
107,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,55882,351053,351053,18012,47800,285241,0
107,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,85802,82300,77816,18780,14387,44649,4484
107,私立,技專校院,1183,黎明技術學院,新北市,58230,75229,75229,50525,11192,13512,0
107,私立,技專校院,1185,經國管理暨健康學院,基隆市,55943,121675,121675,8712,12000,100963,0
107,私立,技專校院,1188,大同技術學院,嘉義市,36371,24309,24309,7432,1980,14897,0
107,私立,技專校院,1188,大同技術學院,嘉義縣,23998,98179,98179,4787,47401,45991,0
107,私立,技專校院,1192,臺灣觀光學院,花蓮縣,39488,140340,140340,8382,24651,107307,0
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,新北市,65251,192236,192236,14425,11726,166085,0
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,新北市,65797,299113,220970,135451,21956,63563,78143
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,臺北市,2853,529,529,529,0,0,0
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,新北市,44190,122732,85648,7523,4349,73776,37084
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,臺北市,27141,14547,14544,5200,814,8530,3
107,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,81227,60786,60786,18603,7671,34512,0
107,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,77805,148095,148095,17703,22834,107558,0
107,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,63255,195875,195875,11670,35881,148324,0
107,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,39327,94618,94618,12778,17645,64195,0
107,私立,技專校院,1286,耕莘健康管理專科學校,基隆市,0,53630,53630,0,0,53630,0
107,私立,技專校院,1286,耕莘健康管理專科學校,新北市,35254,19875,19875,4908,3211,11756,0
107,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,34392,122936,110347,29661,3327,77359,12589
107,私立,技專校院,1289,育英醫護管理專科學校,高雄市,17354,74491,74491,4523,6359,63609,0
107,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,33138,41772,41772,9352,3241,29179,0
107,私立,技專校院,1292,新生醫護管理專科學校,桃園市,103365,114007,114007,27676,7780,78551,0
107,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義市,15435,23215,23215,3022,4712,15481,0
107,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義縣,34297,98000,98000,5868,5720,86412,0
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市,8313,24100,24100,13442,0,10658,0
107,私立,宗教研修學院,1R03,臺北基督學院,新北市,18824,37746,37746,7027,3925,26794,0
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,高雄市,22021,41911,27710,10525,0,17185,14201
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,臺北市,10453,65191,65191,5460,608,59123,0
107,私立,宗教研修學院,1R06,一貫道崇德學院,南投縣,12485,20541,19100,4100,0,15000,1441
