年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費(單位：元),學校承接計畫經費(單位：元)-小計,學校承接計畫經費(單位：元)-政府部門資助,學校承接計畫經費(單位：元)-企業部門資助,學校承接計畫經費(單位：元)-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費(單位：元)
105,公立,一般大學,0001,國立政治大學,731,3892196738,706851130,688508830,5237508,13104792,18.16,966964.61
105,公立,一般大學,0002,國立清華大學,655,5335618621,2438987453,2025384831,224994194,188608428,45.71,3723644.97
105,公立,一般大學,0003,國立臺灣大學,2056,15581301000,8374524052,7453064604,467685930,453773518,53.75,4073212.09
105,公立,一般大學,0004,國立臺灣師範大學,820,5323549431,2153220812,2057690705,59314620,36215487,40.45,2625879.04
105,公立,一般大學,0005,國立成功大學,1342,8199388961,4507284824,3942279453,293672112,271333259,54.97,3358632.51
105,公立,一般大學,0006,國立中興大學,771,4495382862,1578036709,1291106843,238821346,48108520,35.10,2046740.22
105,公立,一般大學,0007,國立交通大學,729,5570296093,3118026781,2659607205,298036116,160383460,55.98,4277128.64
105,公立,一般大學,0008,國立中央大學,655,4634718625,2561487706,2149848301,106503262,305136143,55.27,3910668.25
105,公立,一般大學,0009,國立中山大學,515,3348703557,1372027868,1145038351,77976780,149012737,40.97,2664131.78
105,公立,一般大學,0012,國立臺灣海洋大學,415,2294020737,929604619,736796218,130460599,62347802,40.52,2240011.13
105,公立,一般大學,0013,國立中正大學,536,2496756000,804946905,688085210,116404933,456762,32.24,1501766.61
105,公立,一般大學,0014,國立高雄師範大學,293,1340513373,259490572,249291089,7169483,3030000,19.36,885633.35
105,公立,一般大學,0015,國立彰化師範大學,377,1587467331,365242821,351941821,9476000,3825000,23.01,968813.85
105,公立,一般大學,0016,國立陽明大學,404,2520058529,1101848949,1028398746,69100203,4350000,43.72,2727348.88
105,公立,一般大學,0017,國立臺北大學,369,1583853362,275765016,254999052,8391736,12374228,17.41,747330.67
105,公立,一般大學,0018,國立嘉義大學,519,2279340553,435777790,358156840,60437365,17183585,19.12,839648.92
